"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CISO,"10/24/2022 12 a.m. PDT",1366,-25,717,-238,46,11021,3,1117
CISO,"10/24/2022 1 a.m. PDT",1034,-26,698,-110,46,10826,3,1117
CISO,"10/24/2022 2 a.m. PDT",929,-25,174,-245,46,11016,3,1117
CISO,"10/24/2022 3 a.m. PDT",832,-25,93,-212,46,11298,4,1117
CISO,"10/24/2022 4 a.m. PDT",821,-25,98,-72,46,11361,4,1116
CISO,"10/24/2022 5 a.m. PDT",869,-26,133,-253,46,11953,4,1118
CISO,"10/24/2022 6 a.m. PDT",1093,-26,505,132,46,12583,4,1118
CISO,"10/24/2022 7 a.m. PDT",1290,-23,1063,516,46,13481,4,1118
CISO,"10/24/2022 8 a.m. PDT",1210,1501,896,540,46,13619,4,1119
CISO,"10/24/2022 9 a.m. PDT",1059,7350,697,-482,46,11075,3,1120
CISO,"10/24/2022 10 a.m. PDT",860,10533,714,-1172,46,8919,4,1120
CISO,"10/24/2022 11 a.m. PDT",827,11272,817,-1617,46,7789,4,1119
CISO,"10/24/2022 12 p.m. PDT",731,11013,759,-1180,46,7017,4,1118
CISO,"10/24/2022 1 p.m. PDT",628,10850,700,-960,46,6851,4,1118
CISO,"10/24/2022 2 p.m. PDT",587,10348,685,-356,46,6148,3,1117
CISO,"10/24/2022 3 p.m. PDT",465,10101,668,174,46,5892,3,1116
CISO,"10/24/2022 4 p.m. PDT",411,10018,752,239,46,6871,4,1115
CISO,"10/24/2022 5 p.m. PDT",435,8259,1026,319,46,9063,4,1115
CISO,"10/24/2022 6 p.m. PDT",431,2272,2150,1483,46,12588,4,1118
CISO,"10/24/2022 7 p.m. PDT",437,138,2699,1596,46,13779,4,1119
CISO,"10/24/2022 8 p.m. PDT",450,-42,2814,1278,46,13143,3,1118
CISO,"10/24/2022 9 p.m. PDT",598,-42,2675,918,46,12542,3,1119
CISO,"10/24/2022 10 p.m. PDT",811,-43,2749,387,46,11766,3,1119
CISO,"10/24/2022 11 p.m. PDT",803,-42,1317,276,46,11940,3,1122
CISO,"10/25/2022 12 a.m. PDT",910,-43,1020,-6,46,11128,3,1120
CISO,"10/25/2022 1 a.m. PDT",1188,-43,452,-127,46,10787,3,1118
CISO,"10/25/2022 2 a.m. PDT",1288,-43,342,-324,46,10444,3,1118
CISO,"10/25/2022 3 a.m. PDT",1360,-43,299,-188,46,10153,3,1117
CISO,"10/25/2022 4 a.m. PDT",1146,-31,-23,-85,46,10633,3,1117
CISO,"10/25/2022 5 a.m. PDT",1238,-25,57,-34,46,11167,3,1117
CISO,"10/25/2022 6 a.m. PDT",1334,-26,136,150,46,11813,4,1117
CISO,"10/25/2022 7 a.m. PDT",1180,-24,771,840,46,12895,3,1117
CISO,"10/25/2022 8 a.m. PDT",1091,1384,715,783,46,12934,3,1117
CISO,"10/25/2022 9 a.m. PDT",780,6885,613,-80,46,9245,2,1117
